object_name,Jan_2022,Feb_2022,Mar_2022,Apr_2022,May_2022,Jun_2022,Jul_2022,Aug_2022,Sep_2022,Oct_2022,Nov_2022,Dec_2022,Jan_2023,Feb_2023,Mar_2023,Apr_2023,May_2023,Jun_2023,Jul_2023,Aug_2023,Sep_2023,Oct_2023,Nov_2023,Dec_2023,Jan_2024,Feb_2024,Mar_2024,Apr_2024,May_2024,Jun_2024,Jul_2024,Aug_2024,Sep_2024,Oct_2024
E308 Student Health,0,196,198,278,126,180,133,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.5,9,553,15,284,482,471,512
F622 Psychology solar energy,1245,1030,1391,861,720,469,483,828,860,1179,1056,1025,858,1230,1042,881,647,577,518,776,834,1227,1059,989,1125,1188,870,668,568,438,532,861,909,897
J141 Aquinas Priory solar (Desigo),0,1841,2147,1471,835,279,401,1348,1401,1720,1092,1200,578,292,1438,1364,741,305,481,781,1415,1575,804,335,682,1287,1012,828,462,226,280,757,596,718
K430 Caroline Freeman College East (Abbey),588,500,932,385,131,98,28,153,185,75.2,108.6,52.2,96.1,73.9,40,603.8,136.2,31.5,48.3,150,315.1,360,380.6,379.7,398.8,218.5,454.1,117.2,116.6,29.6,100.1,134.5,42.4,79.3
